,Client 1,,Client 2,,Client 3,
Time,RT,STD,RT,STD,RT,STD
2165,14292,8582.96,14500,8797.86,14301,8716.23
2170,13171,7500.57,13869,8854.27,13360,8550.24
2175,13955,8903.39,15195,9374.43,14770,9183.65
2180,14488,9454.53,14318,9421.3,13984,9147.17
2185,14497,9745.88,14410,9198.51,13466,8993.98
2190,14437,16347.64,16266,16879.76,16271,16842.7
2195,14502,8669.51,14842,8416.94,14661,8255.13
2200,14133,8339.77,14198,13415.66,13721,13188.02
2205,13275,12766.71,14319,8600.56,13316,8099.41
2210,15428,9815.72,15857,10487.83,15909,10231.41
2215,14108,9683.06,16016,11916.22,15436,12072.47
2220,16928,11926.04,18202,16486.21,17424,16123.43
2225,17329,16016.86,17040,7881.26,16321,7713.89
2230,16033,7719.85,15620,7494.91,15208,7458.24
2235,15450,7848.2,17799,9934.31,16958,9902.13
2240,17315,10160.54,17290,8784.1,16746,8313.72
2245,16782,8246.05,17248,7638.84,16527,7596.51
2250,16569,8097.91,17043,10391.26,15998,9061.44
2255,16001,9976.22,15511,8427.56,15807,9001.99
2260,15225,9124.08,15964,10672.6,15228,10186.87
2265,15128,9348,15447,10142.8,15591,9451.7
2270,15207,10247.36,16317,9119.49,15721,9944.73
2275,16887,9943.12,15286,8549.53,14722,8573.73
2280,13940,8104.48,16318,10610.62,15231,9956.79
2285,16392,11176.64,15641,9733.18,15726,9876.3
2290,15323,12661.95,16693,14781.69,15548,13713.96
2295,15517,12226.85,14977,9956.81,15304,10484.34
2300,14843,8918.59,18478,22296.41,16663,19704.41
2305,16997,21273.67,15637,8863.71,15957,11884.04
2310,15741,10087.53,16449,13220,15814,12978.68
2315,15776,12379.63,16911,11087.7,16271,9601.93
2320,17110,13472.48,17132,12988.71,16583,13882.4
2325,16108,10323.48,17634,14344.12,16852,13666.14
2330,16809,14221.51,16275,13670.85,16168,13273.1
2335,16063,14210.38,16514,9938.86,15949,10386.92
2340,15460,8312.04,15234,8625.61,14823,8731.18
2345,14826,8064.82,16104,8614.44,15761,8359.96
2350,16625,17591.96,15707,17386.38,15336,16995.38
2355,14694,9784.4,16055,10260.78,15294,9578.23
2360,15802,12983.76,16757,14075.88,16054,12485.27
2365,15185,10519.89,15192,9651.06,14515,10322.5
2370,14501,9389.12,14760,7373.77,14829,8796.1
2375,13803,7048.26,14149,8623.07,14262,8596.99
2380,14849,8744.68,15961,12792.92,15322,12546.29
2385,15107,12579.19,14649,9964.81,14353,9775.84
